,children,hotel,lead_time,meal,average_daily_rate
181,none,Resort_Hotel,90.0,HB,88.9
182,none,Resort_Hotel,7.0,BB,29.0
183,none,Resort_Hotel,0.0,BB,0.0
184,none,Resort_Hotel,98.0,BB,49.78
185,none,Resort_Hotel,14.0,BB,98.33
186,none,City_Hotel,86.0,BB,87.5
187,none,City_Hotel,80.0,BB,75.95
188,none,Resort_Hotel,6.0,BB,77.0
189,none,City_Hotel,91.0,SC,58.9
190,none,Resort_Hotel,2.0,BB,60.0
191,none,Resort_Hotel,2.0,HB,243.81
192,none,City_Hotel,19.0,BB,130.0
193,none,City_Hotel,34.0,SC,82.23
194,none,City_Hotel,26.0,BB,151.0
195,none,Resort_Hotel,6.0,BB,72.0
196,none,City_Hotel,162.0,BB,62.0
197,none,City_Hotel,0.0,BB,108.0
198,none,City_Hotel,46.0,SC,57.59
199,none,Resort_Hotel,181.0,BB,66.6
